"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LFPR","15_24","PC_AGE","A","1966",69.9087518047527,
"AUS","LFPR","15_24","PC_AGE","A","1967",69.4241470063411,
"AUS","LFPR","15_24","PC_AGE","A","1968",68.2222340425723,
"AUS","LFPR","15_24","PC_AGE","A","1969",67.5777348522458,
"AUS","LFPR","15_24","PC_AGE","A","1970",68.1216428316012,
"AUS","LFPR","15_24","PC_AGE","A","1971",66.6428589212701,
"AUS","LFPR","15_24","PC_AGE","A","1972",66.9244784308264,
"AUS","LFPR","15_24","PC_AGE","A","1973",66.9524907072785,
"AUS","LFPR","15_24","PC_AGE","A","1974",66.4529173283449,
"AUS","LFPR","15_24","PC_AGE","A","1975",67.9551909866611,
"AUS","LFPR","15_24","PC_AGE","A","1976",67.6785061301806,
"AUS","LFPR","15_24","PC_AGE","A","1977",69.4985768417919,
"AUS","LFPR","15_24","PC_AGE","A","1978",69.6489960625204,
"AUS","LFPR","15_24","PC_AGE","A","1979",70.4737796589129,
"AUS","LFPR","15_24","PC_AGE","A","1980",72.1749245438309,
"AUS","LFPR","15_24","PC_AGE","A","1981",72.1584824802788,
"AUS","LFPR","15_24","PC_AGE","A","1982",71.7531191038961,
"AUS","LFPR","15_24","PC_AGE","A","1983",71.2900577149813,
"AUS","LFPR","15_24","PC_AGE","A","1984",71.0196748266449,
"AUS","LFPR","15_24","PC_AGE","A","1985",71.2164644295526,
"AUS","LFPR","15_24","PC_AGE","A","1986",72.0067001293894,
"AUS","LFPR","15_24","PC_AGE","A","1987",71.2946138374161,
"AUS","LFPR","15_24","PC_AGE","A","1988",71.0381995181782,
"AUS","LFPR","15_24","PC_AGE","A","1989",72.0939720228191,
"AUS","LFPR","15_24","PC_AGE","A","1990",72.1032420653817,
"AUS","LFPR","15_24","PC_AGE","A","1991",69.6571060405648,
"AUS","LFPR","15_24","PC_AGE","A","1992",69.3863029674889,
"AUS","LFPR","15_24","PC_AGE","A","1993",68.7254946720826,
"AUS","LFPR","15_24","PC_AGE","A","1994",70.5758860295383,
"AUS","LFPR","15_24","PC_AGE","A","1995",71.6405504471756,
"AUS","LFPR","15_24","PC_AGE","A","1996",71.6632708268315,
"AUS","LFPR","15_24","PC_AGE","A","1997",70.0600330689197,
"AUS","LFPR","15_24","PC_AGE","A","1998",69.8699636904553,
"AUS","LFPR","15_24","PC_AGE","A","1999",69.92459085612,
"AUS","LFPR","15_24","PC_AGE","A","2000",70.1817899843939,
"AUS","LFPR","15_24","PC_AGE","A","2001",70.671478424298,
"AUS","LFPR","15_24","PC_AGE","A","2002",69.9759238337141,
"AUS","LFPR","15_24","PC_AGE","A","2003",70.222014868273,
"AUS","LFPR","15_24","PC_AGE","A","2004",70.1403412925226,
"AUS","LFPR","15_24","PC_AGE","A","2005",70.8099760238858,
"AUS","LFPR","15_24","PC_AGE","A","2006",70.8013217637107,
"AUS","LFPR","15_24","PC_AGE","A","2007",70.7603560750117,
"AUS","LFPR","15_24","PC_AGE","A","2008",70.7474732728744,
"AUS","LFPR","15_24","PC_AGE","A","2009",69.1003951804498,
"AUS","LFPR","15_24","PC_AGE","A","2010",68.4248870929796,
"AUS","LFPR","15_24","PC_AGE","A","2011",68.1394454394193,
"AUS","LFPR","15_24","PC_AGE","A","2012",67.5192285928301,
"AUS","LFPR","15_24","PC_AGE","A","2013",66.8225605397506,
"AUS","LFPR","15_24","PC_AGE","A","2014",66.5625225594068,
"AUS","LFPR","15_24","PC_AGE","A","2015",67.2649619368438,
"AUS","LFPR","15_24","PC_AGE","A","2016",66.7856291236149,
"AUS","LFPR","15_24","PC_AGE","A","2017",66.8940111010211,
"AUS","LFPR","15_24","PC_AGE","A","2018",67.8506391832141,
"AUS","LFPR","15_24","PC_AGE","A","2019",68.1177328036222,
"AUS","LFPR","15_24","PC_AGE","A","2020",66.2325015026438,
"AUS","LFPR","15_24","PC_AGE","A","2021",68.5745695693208,
"AUS","LFPR","15_24","PC_AGE","A","2022",71.5783159157642,
"AUS","LFPR","55_64","PC_AGE","A","1966",53.760162444134,
"AUS","LFPR","55_64","PC_AGE","A","1967",54.7793399607657,
"AUS","LFPR","55_64","PC_AGE","A","1968",55.161507994835,
"AUS","LFPR","55_64","PC_AGE","A","1969",53.7195463861213,
"AUS","LFPR","55_64","PC_AGE","A","1970",54.043481530762,
"AUS","LFPR","55_64","PC_AGE","A","1971",54.001062601673,
"AUS","LFPR","55_64","PC_AGE","A","1972",53.9902412540968,
"AUS","LFPR","55_64","PC_AGE","A","1973",53.1104987158818,
"AUS","LFPR","55_64","PC_AGE","A","1974",51.7892055900563,
"AUS","LFPR","55_64","PC_AGE","A","1975",50.7761661594905,
"AUS","LFPR","55_64","PC_AGE","A","1976",49.4855451878176,
"AUS","LFPR","55_64","PC_AGE","A","1977",49.1854582493845,
"AUS","LFPR","55_64","PC_AGE","A","1978",46.7559340244361,
"AUS","LFPR","55_64","PC_AGE","A","1979",44.875850134108,
"AUS","LFPR","55_64","PC_AGE","A","1980",44.8790406963187,
"AUS","LFPR","55_64","PC_AGE","A","1981",43.8957067715271,
"AUS","LFPR","55_64","PC_AGE","A","1982",42.3924307103227,
"AUS","LFPR","55_64","PC_AGE","A","1983",41.5367618808244,
"AUS","LFPR","55_64","PC_AGE","A","1984",41.2389432370407,
"AUS","LFPR","55_64","PC_AGE","A","1985",40.667126262227,
"AUS","LFPR","55_64","PC_AGE","A","1986",41.6376509234784,
"AUS","LFPR","55_64","PC_AGE","A","1987",41.8032511467385,
"AUS","LFPR","55_64","PC_AGE","A","1988",42.260740026224,
"AUS","LFPR","55_64","PC_AGE","A","1989",43.1769857889087,
"AUS","LFPR","55_64","PC_AGE","A","1990",43.9003083843466,
"AUS","LFPR","55_64","PC_AGE","A","1991",43.6167234942982,
"AUS","LFPR","55_64","PC_AGE","A","1992",43.4731946021918,
"AUS","LFPR","55_64","PC_AGE","A","1993",43.3392316581857,
"AUS","LFPR","55_64","PC_AGE","A","1994",44.6102384274383,
"AUS","LFPR","55_64","PC_AGE","A","1995",45.0453672314608,
"AUS","LFPR","55_64","PC_AGE","A","1996",45.7552649238746,
"AUS","LFPR","55_64","PC_AGE","A","1997",45.8181200443963,
"AUS","LFPR","55_64","PC_AGE","A","1998",46.554136264056,
"AUS","LFPR","55_64","PC_AGE","A","1999",46.5931565939594,
"AUS","LFPR","55_64","PC_AGE","A","2000",48.2444775241438,
"AUS","LFPR","55_64","PC_AGE","A","2001",48.9691592349168,
"AUS","LFPR","55_64","PC_AGE","A","2002",50.6483218895264,
"AUS","LFPR","55_64","PC_AGE","A","2003",52.2570448365342,
"AUS","LFPR","55_64","PC_AGE","A","2004",53.6099934248234,
"AUS","LFPR","55_64","PC_AGE","A","2005",55.3427119162453,
"AUS","LFPR","55_64","PC_AGE","A","2006",57.2705751416867,
"AUS","LFPR","55_64","PC_AGE","A","2007",58.0988203129751,
"AUS","LFPR","55_64","PC_AGE","A","2008",58.8533591017214,
"AUS","LFPR","55_64","PC_AGE","A","2009",61.0589401217409,
"AUS","LFPR","55_64","PC_AGE","A","2010",62.6443630726043,
"AUS","LFPR","55_64","PC_AGE","A","2011",63.2639269584581,
"AUS","LFPR","55_64","PC_AGE","A","2012",63.6282601686395,
"AUS","LFPR","55_64","PC_AGE","A","2013",63.8420838609154,
"AUS","LFPR","55_64","PC_AGE","A","2014",64.0397051852458,
"AUS","LFPR","55_64","PC_AGE","A","2015",64.8778828781227,
"AUS","LFPR","55_64","PC_AGE","A","2016",65.2406369230378,
"AUS","LFPR","55_64","PC_AGE","A","2017",66.2861478575915,
"AUS","LFPR","55_64","PC_AGE","A","2018",66.6738242773895,
"AUS","LFPR","55_64","PC_AGE","A","2019",67.152962175566,
"AUS","LFPR","55_64","PC_AGE","A","2020",67.0648453431907,
"AUS","LFPR","55_64","PC_AGE","A","2021",68.1991177004662,
"AUS","LFPR","55_64","PC_AGE","A","2022",69.0166484625823,
"AUS","LFPR","65MORE","PC_AGE","A","1966",12.4961722939546,
"AUS","LFPR","65MORE","PC_AGE","A","1967",12.7638187120907,
"AUS","LFPR","65MORE","PC_AGE","A","1968",11.8178211601785,
"AUS","LFPR","65MORE","PC_AGE","A","1969",12.079953648073,
"AUS","LFPR","65MORE","PC_AGE","A","1970",11.5837885045509,
"AUS","LFPR","65MORE","PC_AGE","A","1971",11.766889369419,
"AUS","LFPR","65MORE","PC_AGE","A","1972",11.7551170199732,
"AUS","LFPR","65MORE","PC_AGE","A","1973",11.1925795411052,
"AUS","LFPR","65MORE","PC_AGE","A","1974",10.2063724583397,
"AUS","LFPR","65MORE","PC_AGE","A","1975",9.44111935072928,
"AUS","LFPR","65MORE","PC_AGE","A","1976",8.16910605909302,
"AUS","LFPR","65MORE","PC_AGE","A","1977",7.87801795553098,
"AUS","LFPR","65MORE","PC_AGE","A","1978",6.83633889641719,
"AUS","LFPR","65MORE","PC_AGE","A","1979",6.28114844024491,
"AUS","LFPR","65MORE","PC_AGE","A","1980",6.36126935837379,
"AUS","LFPR","65MORE","PC_AGE","A","1981",6.00032991913758,
"AUS","LFPR","65MORE","PC_AGE","A","1982",5.44611034144242,
"AUS","LFPR","65MORE","PC_AGE","A","1983",5.17538351867922,
"AUS","LFPR","65MORE","PC_AGE","A","1984",5.18737139148072,
