시도교육청,지역교육청,지역,정보공시  학교코드,학교명,학교급코드,설립구분,주야간,1학년,2학년,3학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수
서울특별시교육청,교육부,서울특별시 강남구,S000003540,국립국악고등학교,4,국립,주간,5,5,5,0,0,15(0),443(0),29.53
서울특별시교육청,교육부,서울특별시 성북구,S000003561,서울대학교사범대학부설고등학교,4,국립,주간,8,8,8,3,0,27(3),717(25),26.56
서울특별시교육청,교육부,서울특별시 금천구,S000005401,국립전통예술고등학교,4,국립,주간,6,6,6,0,0,18(0),527(0),29.28
서울특별시교육청,서울특별시교육청,서울특별시 송파구,S010000370,가락고등학교,4,공립,주간,11,11,11,0,0,33(0),823(0),24.94
서울특별시교육청,서울특별시교육청,서울특별시 강동구,S010000371,강동고등학교,4,사립,주간,8,8,8,0,0,24(0),609(0),25.38
서울특별시교육청,서울특별시교육청,서울특별시 양천구,S010000372,강서고등학교,4,사립,주간,12,12,12,0,0,36(0),980(0),27.22
서울특별시교육청,서울특별시교육청,서울특별시 강남구,S010000373,개포고등학교,4,공립,주간,9,10,10,0,0,29(0),622(0),21.45
서울특별시교육청,서울특별시교육청,서울특별시 광진구,S010000374,건국대학교사범대학부속고등학교,4,사립,주간,12,12,12,0,0,36(0),1016(0),28.22
서울특별시교육청,서울특별시교육청,서울특별시 강남구,S010000375,경기고등학교,4,공립,주간,14,14,14,3,0,45(3),1156(22),25.69
서울특별시교육청,서울특별시교육청,서울특별시 강남구,S010000376,경기여자고등학교,4,공립,주간,13,13,13,3,0,42(3),1090(16),25.95
서울특별시교육청,서울특별시교육청,서울특별시 성북구,S010000377,경동고등학교,4,공립,주간,8,8,7,3,0,26(3),513(10),19.73
서울특별시교육청,서울특별시교육청,서울특별시 동작구,S010000378,경문고등학교,4,사립,주간,8,8,8,0,0,24(0),542(0),22.58
서울특별시교육청,서울특별시교육청,서울특별시 종로구,S010000379,경복고등학교,4,공립,주간,10,11,11,3,0,35(3),726(19),20.74
서울특별시교육청,서울특별시교육청,서울특별시 강서구,S010000380,경복여자고등학교,4,사립,주간,8,8,8,0,0,24(0),669(0),27.88
서울특별시교육청,서울특별시교육청,서울특별시 마포구,S010000381,경성고등학교,4,사립,주간,8,8,8,0,0,24(0),664(0),27.67
서울특별시교육청,서울특별시교육청,서울특별시 종로구,S010000382,경신고등학교,4,사립,주간,8,9,9,0,0,26(0),565(0),21.73
서울특별시교육청,서울특별시교육청,서울특별시 구로구,S010000383,경인고등학교,4,공립,주간,13,13,13,3,0,42(3),1081(16),25.74
서울특별시교육청,서울특별시교육청,서울특별시 동대문구,S010000384,경희고등학교,4,사립,주간,8,8,8,0,0,24(0),736(0),30.67
서울특별시교육청,서울특별시교육청,서울특별시 동대문구,S010000385,경희여자고등학교,4,사립,주간,7,7,8,0,0,22(0),463(0),21.05
서울특별시교육청,서울특별시교육청,서울특별시 성북구,S010000386,계성고등학교,4,사립,주간,10,10,10,3,0,33(3),851(21),25.79
서울특별시교육청,서울특별시교육청,서울특별시 성북구,S010000387,고려대학교사범대학부속고등학교,4,사립,주간,9,9,9,0,0,27(0),717(0),26.56
서울특별시교육청,서울특별시교육청,서울특별시 구로구,S010000388,고척고등학교,4,공립,주간,9,9,9,3,0,30(3),760(19),25.33
서울특별시교육청,서울특별시교육청,서울특별시 강서구,S010000389,공항고등학교,4,공립,주간,8,8,8,1,0,25(1),591(3),23.64
서울특별시교육청,서울특별시교육청,서울특별시 영등포구,S010000390,관악고등학교,4,공립,주간,9,9,9,3,0,30(3),702(7),23.4
서울특별시교육청,서울특별시교육청,서울특별시 광진구,S010000391,광남고등학교,4,공립,주간,14,15,14,0,0,43(0),1081(0),25.14
서울특별시교육청,서울특별시교육청,서울특별시 강동구,S010000392,광문고등학교,4,사립,주간,13,13,13,0,0,39(0),1059(0),27.15
서울특별시교육청,서울특별시교육청,서울특별시 마포구,S010000393,광성고등학교,4,사립,주간,10,9,9,0,0,28(0),724(0),25.86
서울특별시교육청,서울특별시교육청,서울특별시 관악구,S010000394,광신고등학교,4,사립,주간,8,9,9,0,0,26(0),545(0),20.96
서울특별시교육청,서울특별시교육청,서울특별시 광진구,S010000395,광양고등학교,4,공립,주간,7,8,8,3,0,26(3),516(18),19.85
서울특별시교육청,서울특별시교육청,서울특별시 양천구,S010000396,광영고등학교,4,사립,주간,12,13,13,0,0,38(0),864(0),22.74
서울특별시교육청,서울특별시교육청,서울특별시 양천구,S010000397,광영여자고등학교,4,사립,주간,12,13,13,0,0,38(0),902(0),23.74
서울특별시교육청,서울특별시교육청,서울특별시 구로구,S010000398,구로고등학교,4,공립,주간,11,11,11,0,0,33(0),863(0),26.15
서울특별시교육청,서울특별시교육청,서울특별시 구로구,S010000399,구일고등학교,4,공립,주간,10,10,10,0,0,30(0),744(0),24.8
서울특별시교육청,서울특별시교육청,서울특별시 강남구,S010000400,압구정고등학교,4,공립,주간,9,10,10,0,0,29(0),587(0),20.24
