시도교육청,지역교육청,지역,정보공시  학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,1학년,2학년,3학년,4학년,5학년,6학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수
서울특별시교육청,서울특별시교육청,서울특별시 노원구,S010000693,청암예술학교,8,사립,N,,1,1,1,,,,0,0,3(0),15(0),5
서울특별시교육청,서울특별시교육청,서울특별시 영등포구,S010005076,한국제과학교,8,사립,N,,2,0,0,,,,0,0,2(0),23(0),11.5
서울특별시교육청,교육부,서울특별시 강남구,S000003542,국립국악중학교,9,국립,N,,4,4,4,,,,0,0,12(0),346(0),28.83
서울특별시교육청,교육부,서울특별시 금천구,S000005402,국립전통예술중학교,9,국립,N,,3,3,3,,,,0,0,9(0),219(0),24.33
서울특별시교육청,서울특별시성동광진교육지원청,서울특별시 광진구,S010000627,선화예술중학교,9,사립,N,,7,7,7,,,,0,0,21(0),828(0),39.43
서울특별시교육청,서울특별시중부교육지원청,서울특별시 중구,S010000687,예원학교,9,사립,N,,8,8,8,,,,0,0,24(0),880(0),36.67
서울특별시교육청,서울특별시북부교육지원청,서울특별시 노원구,S010000695,한국삼육중학교,9,사립,N,,6,6,6,,,,0,0,18(0),454(0),25.22
서울특별시교육청,서울특별시교육청,서울특별시 관악구,S010000675,서울산업정보학교,10,공립,N,,0,0,17,,,,0,0,17(0),224(0),13.18
서울특별시교육청,서울특별시교육청,서울특별시 마포구,S010000685,아현산업정보학교,10,공립,N,,0,0,27,,,,0,0,27(0),534(0),19.78
서울특별시교육청,서울특별시교육청,서울특별시 종로구,S010000690,종로산업정보학교,10,공립,N,,0,0,20,,,,0,0,20(0),0(0),0
서울특별시교육청,서울특별시교육청,서울특별시 중구,S010005586,서울실용음악고등학교,10,사립,N,,2,3,3,,,,0,0,8(0),174(0),21.75
서울특별시교육청,서울특별시교육청,서울특별시 중구,S010005730,여명학교,10,사립,N,,1,2,3,,,,0,0,6(0),62(0),10.33
