시도교육청,지역교육청,지역,정보공시  학교코드,학교명,학교급코드,설립구분,1학년,2학년,3학년,4학년,5학년,6학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수
서울특별시교육청,교육부,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,2,국립,4,4,4,5,5,5,1,0,28(1),614(6),21.93
서울특별시교육청,교육부,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,2,국립,5,5,5,5,5,5,1,0,31(1),627(7),20.23
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000738,서울개일초등학교,2,공립,5,5,5,6,5,6,0,0,32(0),945(0),29.53
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000741,서울구룡초등학교,2,공립,4,4,5,5,4,5,1,0,28(1),504(6),18
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000742,서울논현초등학교,2,공립,3,3,2,3,2,3,2,0,18(2),309(11),17.17
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000743,서울대곡초등학교,2,공립,5,6,7,8,8,10,1,0,45(1),1290(4),28.67
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000744,서울대도초등학교,2,공립,9,10,9,10,10,14,0,0,62(0),2212(0),35.68
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000745,서울대모초등학교,2,공립,5,5,5,5,6,7,0,0,33(0),1084(0),32.85
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000746,서울대왕초등학교,2,공립,5,5,6,8,6,6,2,0,38(2),815(7),21.45
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000747,서울대진초등학교,2,공립,3,2,3,2,2,3,2,0,17(2),295(10),17.35
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000748,서울대청초등학교,2,공립,2,2,2,2,2,2,1,0,13(1),143(3),11
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000749,서울대치초등학교,2,공립,6,6,7,7,9,11,0,0,46(0),1734(0),37.7
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000750,서울대현초등학교,2,공립,3,3,4,4,7,7,2,0,30(2),707(13),23.57
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000751,서울도곡초등학교,2,공립,5,5,5,6,7,8,2,0,38(2),943(9),24.82
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000752,서울도성초등학교,2,공립,8,8,9,10,9,11,1,0,56(1),1840(2),32.86
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000753,서울반원초등학교,2,공립,8,8,8,8,8,10,0,0,50(0),1332(0),26.64
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000754,서울반포초등학교,2,공립,6,5,6,7,6,7,0,0,37(0),819(0),22.14
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000755,서울방배초등학교,2,공립,4,6,6,6,7,7,2,0,38(2),904(7),23.79
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000756,서울방일초등학교,2,공립,5,5,5,6,6,6,1,0,34(1),873(4),25.68
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000757,서울방현초등학교,2,공립,2,3,2,3,3,3,0,0,16(0),332(0),20.75
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000758,서울봉은초등학교,2,공립,4,3,4,4,4,5,0,0,24(0),537(0),22.38
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000759,서울삼릉초등학교,2,공립,4,4,4,3,4,4,0,0,23(0),557(0),24.22
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000760,서울서래초등학교,2,공립,7,8,8,7,7,8,2,0,47(2),1360(13),28.94
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000761,서울서원초등학교,2,공립,7,7,6,6,6,7,2,0,41(2),1281(10),31.24
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000762,서울서이초등학교,2,공립,6,6,7,7,6,9,0,0,41(0),966(0),23.56
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000763,서울서일초등학교,2,공립,4,4,3,4,4,4,1,0,24(1),548(5),22.83
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000764,서울서초초등학교,2,공립,6,6,6,6,6,6,1,0,37(1),1084(6),29.3
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000765,서울수서초등학교,2,공립,2,2,2,2,2,2,2,0,14(2),176(10),12.57
