시도교육청,지역교육청,지역,정보공시  학교코드,학교명,학교급코드,설립구분,주야간,1학년,2학년,3학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수
서울특별시교육청,교육부,서울특별시 성북구,S000003514,서울대학교사범대학부설중학교,3,국립,주간,8,8,8,1,0,25(1),625(7),25
서울특별시교육청,교육부,서울특별시 종로구,S000003562,서울대학교사범대학부설여자중학교,3,국립,주간,6,6,6,1,0,19(1),405(8),21.32
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000698,개원중학교,3,공립,주간,8,7,7,3,0,25(3),617(20),24.68
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000700,경원중학교,3,공립,주간,11,12,11,1,0,35(1),982(8),28.06
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000701,구룡중학교,3,공립,주간,10,8,8,1,0,27(1),778(5),28.81
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000702,압구정중학교,3,공립,주간,6,6,5,0,0,17(0),423(0),24.88
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000704,단국대학교사범대학부속중학교,3,사립,주간,6,6,6,0,0,18(0),595(0),33.06
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000705,대명중학교,3,공립,주간,10,10,10,0,0,30(0),981(0),32.7
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000706,대왕중학교,3,공립,주간,9,9,9,1,0,28(1),858(3),30.64
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000707,대청중학교,3,공립,주간,11,11,10,0,0,32(0),1052(0),32.88
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000708,대치중학교,3,공립,주간,7,6,7,0,0,20(0),498(0),24.9
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000709,도곡중학교,3,공립,주간,9,8,7,1,0,25(1),776(7),31.04
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000710,동덕여자중학교,3,사립,주간,7,7,7,0,0,21(0),421(0),20.05
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000711,반포중학교,3,공립,주간,9,9,9,0,0,27(0),691(0),25.59
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000712,방배중학교,3,공립,주간,7,7,6,1,0,21(1),518(6),24.67
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000713,봉은중학교,3,공립,주간,5,5,5,0,0,15(0),329(0),21.93
