시도교육청,지역교육청,지역,정보공시  학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,유초등부-유,유초등부-유-순회,유초등부-1학년,유초등부-2학년,유초등부-3학년,유초등부-4학년,유초등부-5학년,유초등부-6학년,유초등부-초-순회,유초등부-학급수(계),유초등부-학생수(계),유초등부-학급당학생수,중등부-1학년,중등부-2학년,중등부-3학년,중등부-순회,중등부-학급수(계),중등부-학생수(계),중등부-학급당학생수,고등부-1학년,고등부-2학년,고등부-3학년,고등부-순회,고등부-학급수(계),고등부-학생수(계),고등부-학급당학생수,전공과,학급수 총계,학생수 총계,학급당학생수
서울특별시교육청,교육부,서울특별시 종로구,S000003545,서울농학교,5,국립,N,,5,0,2,2,2,2,2,2,0,17,22,1.29,2,2,2,0,6,18,3,3,3,3,0,9,36,4,4,36(0),94(0),2.61
서울특별시교육청,교육부,서울특별시 마포구,S000003553,한국우진학교,5,국립,N,,2,1,3,2,2,2,2,1,3,18,76,4.22,2,2,2,1,7,33,4.71,3,3,3,1,10,47,4.7,4,39(6),179(13),4.59
서울특별시교육청,교육부,서울특별시 종로구,S000003610,서울맹학교,5,국립,N,,4,0,2,2,1,1,2,1,0,13,39,3,2,2,1,0,5,20,4,3,3,3,0,9,56,6.22,11,38(0),197(0),5.18
서울특별시교육청,서울특별시교육청,서울특별시 송파구,S010000663,광성하늘빛학교,5,사립,N,,7,0,0,0,0,0,0,0,0,7,26,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7(0),26(0),3.71
서울특별시교육청,서울특별시교육청,서울특별시 동작구,S010000664,누리학교,5,사립,N,,7,0,0,0,0,0,0,0,0,7,31,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7(0),31(0),4.43
서울특별시교육청,서울특별시교육청,서울특별시 강서구,S010000665,교남학교,5,사립,N,,0,0,1,1,1,1,1,1,0,6,36,6,1,1,2,0,4,22,5.5,1,2,1,0,4,25,6.25,2,16(0),97(0),6.06
서울특별시교육청,서울특별시교육청,서울특별시 서초구,S010000667,다니엘학교,5,사립,N,,1,0,3,2,2,2,2,2,0,14,89,6.36,2,2,2,0,6,37,6.17,2,2,2,0,6,47,7.83,4,30(0),199(0),6.63
서울특별시교육청,서울특별시교육청,서울특별시 강남구,S010000669,밀알학교,5,사립,N,,1,0,2,2,2,2,2,2,0,13,76,5.85,2,2,2,0,6,40,6.67,2,2,2,0,6,39,6.5,5,30(0),188(0),6.27
서울특별시교육청,서울특별시교육청,서울특별시 관악구,S010000670,서울새롬학교,5,사립,N,,1,1,1,1,1,1,1,1,3,11,57,5.18,1,1,1,2,5,11,2.2,0,0,0,1,1,4,4,0,17(7),72(33),4.24
서울특별시교육청,서울특별시교육청,서울특별시 광진구,S010000671,서울광진학교,5,공립,N,,0,0,1,1,1,1,1,2,0,7,38,5.43,2,2,2,0,6,30,5,2,3,3,0,8,39,4.88,4,25(0),131(0),5.24
서울특별시교육청,서울특별시교육청,서울특별시 노원구,S010000673,서울동천학교,5,사립,N,,1,0,2,2,2,3,2,2,0,14,87,6.21,3,2,3,0,8,46,5.75,3,3,3,0,9,60,6.67,4,35(0),226(0),6.46
서울특별시교육청,서울특별시교육청,서울특별시 동작구,S010000676,서울삼성학교,5,사립,N,,4,0,1,1,1,2,1,2,0,12,53,4.42,2,1,1,0,4,26,6.5,1,2,2,0,5,32,6.4,0,21(0),111(0),5.29
서울특별시교육청,서울특별시교육청,서울특별시 강북구,S010000677,서울애화학교,5,사립,N,,3,0,1,0,1,1,0,1,0,7,24,3.43,2,2,2,0,6,29,4.83,2,2,2,0,6,37,6.17,5,24(0),119(0),4.96
서울특별시교육청,서울특별시교육청,서울특별시 관악구,S010000679,서울정문학교,5,공립,N,,0,0,2,2,2,2,2,2,0,12,70,5.83,3,2,2,1,8,38,4.75,3,3,3,1,10,55,5.5,4,34(2),186(6),5.47
서울특별시교육청,서울특별시교육청,서울특별시 노원구,S010000680,서울정민학교,5,공립,N,,1,3,3,2,1,2,3,2,6,23,89,3.87,2,5,3,3,13,50,3.85,2,3,2,4,11,48,4.36,7,54(16),220(47),4.07
서울특별시교육청,서울특별시교육청,서울특별시 강북구,S010000681,서울정인학교,5,공립,N,,1,0,2,2,3,2,2,2,0,14,74,5.29,2,2,2,0,6,28,4.67,2,2,4,0,8,40,5,6,34(0),178(0),5.24
서울특별시교육청,서울특별시교육청,서울특별시 구로구,S010000682,서울정진학교,5,공립,N,,0,3,2,2,2,2,2,2,5,20,82,4.1,4,3,4,1,12,59,4.92,4,4,4,2,14,66,4.71,8,54(11),250(23),4.63
서울특별시교육청,서울특별시교육청,서울특별시 구로구,S010000683,성베드로학교,5,사립,N,,0,0,2,2,2,2,2,2,0,12,73,6.08,2,2,2,0,6,38,6.33,2,2,2,0,6,40,6.67,4,28(0),174(0),6.21
