연번,학교명,폐교년월일,소재지,토지대부면적(제곱미터),건물대부면적(제곱미터),대부용도,대부기간(시작),대부기간(종료),대부료(천원),대부받은 자,통합학교
1, 장전초금덕분교장,1992-03-01,애월읍 유수암리 1387,6142,171.42,주민교류 및 아동을 위한 체험교실 및휴게음식점 운영 및 기념품 판매,2023-01-01,2024-12-31,무상,유수암상동 마을회장,장전초
2, 어도초어음분교장,1999-03-25,애월읍 어음리 2922,4331,317.01,"카페 및 게스트하우스 운영,지역주민 프로그램 운영",2022-01-01,2023-12-31,무상,어음2리장,어도초
3, 명월초등학교,1993-03-01,한림읍 명월리 1734 ,15993,837.5,"다목적회관, 백난아자료실,복합문화체험장 활용",2023-01-01,2024-12-31,무상,명월리장,한림초
4, 조수초등학교,1995-03-01,한경면 조수리 315,11709,1000.6,"게스트하우스 및 생활문화체험전시관,지역주민 체력단련실 등",2022-01-01,2023-12-31,무상,조수1리장,신창초중
5, 고산초산양분교장,1995-03-01,한경면 청수리 3338,10965,1077.41,문화창작공간 조성 및 운영,2023-01-01,2027-12-31,무상,제주특별자치도지사,고산초
6, 판포초등학교,1996-03-01,한경면 판포리 2846-1,7954,0,지역주민을 위한 생활체육시설 이용,2021-12-01,2026-11-30,무상,한경면장,신창초중
7, 연평초등학교,2000-03-01,우도면 연평리 1457,11460,0,지역주민 편의시설 및관광객 휴식공간,2019-01-01,2023-12-31,무상,우도면장,우도초중
8, 연평초등학교,2000-03-01,우도면 연평리 1407,662,264.8,우도면 문화공간(북카페) 조성,2020-05-01,2025-04-30,705,우도면주민자치위원회,우도초중
9, 안덕초대평분교장,1996-03-01,안덕면 창천리 850,12221,799.14,"복합문화공간(여행자센터, 마을뮤지엄 등)",2021-07-01,2025-12-31,무상,대평리장,안덕초
10, 서광초동광분교장,2009-03-01,안덕면 동광리 976,12308,325.15,체험마을 운영 및 주민 편의공간,2021-07-01,2023-12-31,무상,동광리장,서광초
11, 보성초신평분교장,1992-03-01,대정읍 신평리 371-1,10221,356.1,생태체험학교 및 주민이용시설,2021-07-01,2023-12-31,무상,신평리장,보성초
12, 무릉초무릉동분교장,1994-03-01,대정읍 무릉리 581-1,9150,523.36,"마을 농산물 직거래 장터, 체험장,카페운영",2020-11-12,2023-12-31,무상,무릉2리장,무릉초중
13, 보성초구억분교장,1995-03-01,대정읍 구억리 889-1,5287,399.05,옹기전시·판매장 및 마을도서관 등 운영,2021-12-01,2023-12-31,무상,구억리장,보성초
14, 풍천초신풍분교장,1996-03-01,성산읍 신풍리 500,9285,625.94,어멍아방잔치마을 통합교류센터,2022-01-01,2023-12-31,무상,신풍리장,풍천초
15, 신산초삼달분교장,1998-03-01,성산읍 삼달리 437-5,8628,946.85,김영갑갤러리두모악 미술관,2022-01-01,2023-12-31,12169,(사)김영갑갤러리두모악),신산초중
16, 가시초등학교,2001-03-01,표선면 가시리 1924,13647,948.31,포토갤러리자연사랑미술관 및 전통문화인성교육센터운영,2023-01-01,2023-12-31,8492,서OO,한마음초
17, 화산초등학교,2001-03-01,표선면 세화리 1811-1,11991,1329.65,제주 전통문화 체험관,2023-01-01,2024-12-31,8707,강OO,한마음초
