학교명,관할구군청,주소,우편번호,전화번호,팩스번호
경북대학교사범대학부설초등학교,중구,대구광역시 중구 달구벌대로 2150,41959,053-425-2940,053-427-9455
대구교육대학교대구부설초등학교,달서구,대구광역시 달서구 도원남로 19,42831,053-234-5332,053-234-5336
대구지묘초등학교,동구,대구광역시 동구 파계로6길 54-3,41002,053-232-2311,053-985-6324
대구해서초등학교,동구,대구광역시 동구 팔공로 220-4,41027,053-232-1103,053-983-1705
대구해안초등학교,동구,대구광역시 동구 옻골로 50,41055,053-232-0951,053-981-6588
대구효동초등학교,동구,대구광역시 동구 효동로 78-7,41171,053-232-3703,053-959-4744
대구효목초등학교,동구,대구광역시 동구 화랑로27길 25,41240,053-232-1674,053-742-1438
대구효신초등학교,동구,대구광역시 동구 동부로34길 70,41247,053-232-1913,053-743-0514
동대구초등학교,동구,대구광역시 동구 신암남로 45,41211,053-232-1404,053-939-1404
영신초등학교,동구,대구광역시 동구 팔공로50길 32,41021,053-232-5900,053-232-5920
대구강동초등학교,동구,대구광역시 동구 동호로7길 17,41088,053-232-5051,053-963-8706
대구동호초등학교,동구,대구광역시 동구 동호로 25,41086,053-232-5005,053-961-3515
대구율원초등학교,동구,대구광역시 동구 율하동로 55,41099,053-232-5431,053-963-7634
대구봉무초등학교,동구,대구광역시 동구 팔공로53길 30,41023,053-232-5705,053-986-9118
대구율금초등학교,동구,대구광역시 동구 안심로16길 70,41107,053-232-5609,053-963-8754
대구새론초등학교,동구,대구광역시 동구 과학로13길 5,41066,053-232-9605,053-964-9585
대구공산초등학교,동구,대구광역시 동구 팔공로197길 35,41009,053-232-2200,053-983-8005
대구덕성초등학교,동구,대구광역시 동구 아양로34길 50,41224,053-232-3402,053-939-7017
대구동부초등학교,동구,대구광역시 동구 신암북로7길 22,41191,053-232-1844,053-959-0783
대구동신초등학교,동구,대구광역시 동구 송라로 123,41202,053-232-1703,053-959-4552
대구동촌초등학교,동구,대구광역시 동구 동촌로 168,41159,053-232-1000,053-982-9943
대구반야월초등학교,동구,대구광역시 동구 안심로49길 70,41112,053-232-2373,053-964-2972
대구방촌초등학교,동구,대구광역시 동구 동촌로42길 35-14,41160,053-232-3430,053-985-6521
대구불로초등학교,동구,대구광역시 동구 방천로3길 19,41042,053-232-3293,053-985-7566
대구서촌초등학교,동구,대구광역시 동구 파계로 525-11,41001,053-232-2323,053-984-0055
대구송정초등학교,동구,대구광역시 동구 안심로90길 9,41092,053-232-2544,053-964-2605
대구숙천초등학교,동구,대구광역시 동구 숙천로 17,41070,053-232-9800,053-232-9797
대구신성초등학교,동구,대구광역시 동구 동북로71길 29,41181,053-232-2854,053-954-1630
대구신천초등학교,동구,대구광역시 동구 송라로6길 5,41259,053-232-1173,053-752-5624
대구아양초등학교,동구,대구광역시 동구 아양로 221,41186,053-232-1300,053-232-1310
대구안일초등학교,동구,대구광역시 동구 율하동로23길 66,41122,053-232-2501,053-964-2590
대구용호초등학교,동구,대구광역시 동구 동촌로56길 82,41165,053-232-4707,053-984-6493
대구율하초등학교,동구,대구광역시 동구 율하동로15길 1,41121,053-232-4004,053-964-0466
대구입석초등학교,동구,대구광역시 동구 아양로 300,41153,053-232-3903,053-983-6835
대구팔공초등학교,동구,대구광역시 동구 연경지묘로 150,41003,053-233-5271,053-981-8003
대구삼덕초등학교,중구,대구광역시 중구 달구벌대로447길 10,41948,053-232-0473,053-253-0425
대구명덕초등학교,중구,대구광역시 중구 남산로2길 125,41968,053-232-0606,053-252-3749
대구동인초등학교,중구,대구광역시 중구 국채보상로 728,41946,053-232-0733,053-427-9416
대구동덕초등학교,중구,대구광역시 중구 동덕로26길 20,41948,053-232-0844,053-427-0792
대구남산초등학교,중구,대구광역시 중구 남산로 70,41970,053-232-0314,053-254-4973
계성초등학교,중구,대구광역시 중구 달성로 15,41927,053-253-4191,053-254-5132
대구초등학교,중구,대구광역시 중구 명륜로23길 80,41958,053-232-0204,053-426-5974
대구종로초등학교,중구,대구광역시 중구 경상감영길 49,41919,053-232-0800,053-255-8278
대구수창초등학교,중구,대구광역시 중구 달성로22길 30,41920,053-232-0302,053-257-2160
대구용지초등학교,수성구,대구광역시 수성구 지산로 12,42214,053-232-3789,053-782-1450
대구수성초등학교,수성구,대구광역시 수성구 상화로5길 40,42157,053-232-0709,053-763-0327
대구시지초등학교,수성구,대구광역시 수성구 달구벌대로631길 17,42268,053-232-4304,053-792-7500
대구신매초등학교,수성구,대구광역시 수성구 달구벌대로650길 26,42275,053-232-4271,053-792-8125
대구욱수초등학교,수성구,대구광역시 수성구 신매로 20,42283,053-232-4400,053-793-1887
대구성동초등학교,수성구,대구광역시 수성구 청수로45길 27,42112,053-232-2800,053-766-2724
대구복명초등학교,수성구,대구광역시 수성구 범안로20길 8,42241,053-232-4792,053-784-4980
대구범일초등학교,수성구,대구광역시 수성구 범안로4길 22,42243,053-232-4120,053-782-0374
대구범어초등학교,수성구,대구광역시 수성구 달구벌대로489길 55,42029,053-232-1782,053-756-2219
대구범물초등학교,수성구,대구광역시 수성구 지범로41길 33,42199,053-232-4047,053-784-3093
대구매호초등학교,수성구,대구광역시 수성구 달구벌대로647길 30,42270,053-232-4580,053-232-4688
대구만촌초등학교,수성구,대구광역시 수성구 국채보상로214길 33,42050,053-232-2010,053-743-4456
대구두산초등학교,수성구,대구광역시 수성구 동대구로6길 31,42185,053-232-3592,053-768-8835
대구동천초등학교,수성구,대구광역시 수성구 상록로16길 20,42012,053-232-1484,053-754-0040
대구동일초등학교,수성구,대구광역시 수성구 들안로 311,42123,053-232-3200,053-759-3190
대구동원초등학교,수성구,대구광역시 수성구 국채보상로 1000,42048,053-232-2182,053-744-4452
대구동성초등학교,수성구,대구광역시 수성구 수성로 311,42131,053-232-1506,053-766-1435
대구동산초등학교,수성구,대구광역시 수성구 동대구로42길 29,42109,053-232-2894,053-744-2205
대구동문초등학교,수성구,대구광역시 수성구 효행로2길 111,42064,053-232-3242,053-956-5399
대구동도초등학교,수성구,대구광역시 수성구 동대구로57길 8,42118,053-232-0482,053-753-9777
대구대청초등학교,수성구,대구광역시 수성구 교학로12길 42,42077,053-232-3500,053-753-8541
대구노변초등학교,수성구,대구광역시 수성구 노변공원로 52,42259,053-232-4545,053-791-8158
대구고산초등학교,수성구,대구광역시 수성구 달구벌대로 3067,42262,053-232-2670,053-791-3736
대구경동초등학교,수성구,대구광역시 수성구 청호로76길 12,42082,053-232-2982,053-753-8831
대구들안길초등학교,수성구,대구광역시 수성구 들안로16길 58,42169,053-232-5582,053-763-8562
대구매동초등학교,수성구,대구광역시 수성구 천을로31길 16,42265,053-232-5400,053-791-2530
대구사월초등학교,수성구,대구광역시 수성구 달구벌대로656길 46,42279,053-232-5300,053-217-5576
대구지봉초등학교,수성구,대구광역시 수성구 지범로31길 45,42193,053-232-3847,053-781-8636
대구지산초등학교,수성구,대구광역시 수성구 지범로17길 3-14,42187,053-232-0907,053-783-7449
대구파동초등학교,수성구,대구광역시 수성구 파동로51길 34,42222,053-232-3099,053-768-8014
대구황금초등학교,수성구,대구광역시 수성구 들안로32길 22,42148,053-232-2040,053-768-5864
대구삼육초등학교,수성구,대구광역시 수성구 청수로 22-23,42156,053-232-5964,053-768-7232
대구중앙초등학교,수성구,대구광역시 수성구 만촌로 125,42037,053-232-4902,053-232-4909
대구청림초등학교,수성구,대구광역시 수성구 고산로 51,42257,053-232-5165,053-795-9117
대구서평초등학교,서구,대구광역시 서구 서대구로45길 60,41760,053-233-2350,053-552-1798
대구서부초등학교,서구,대구광역시 서구 달서로26길 25,41800,053-233-0205,053-559-3458
대구서도초등학교,서구,대구광역시 서구 평리로 395,41821,053-233-1450,053-556-1581
대구비산초등학교,서구,대구광역시 서구 통학로 202,41778,053-233-1344,053-565-7130
대구비봉초등학교,서구,대구광역시 서구 달서로45길 30,41742,053-233-2774,053-522-2829
대구북비산초등학교,서구,대구광역시 서구 통학로48길 7,41740,053-233-1505,053-561-2799
대구두류초등학교,서구,대구광역시 서구 달구벌대로357길 22,41864,053-233-2712,053-567-4803
대구대성초등학교,서구,대구광역시 서구 국채보상로 426,41805,053-233-0608,053-572-2805
